Exported Data for Miner
Last Updated,Device Name,Device MAC,Signal Strength (%),Energy Cost per kWh,Currency,Threshold (Watts)
2018/04/23 00:42,Miner,149182B46382,99,0.11100,$,8

Daily Usage Summary
Date,Time ON (Hours:Minutes),Power Consumption ON (kWh),Time STANDBY (Hours:Minutes),Power Consumption STANDBY (kWh),Average Day Connected Device is ON (Hours),Average Power When ON (Watts),Estimated Monthly Cost,Day's Cost,Energy Cost per kWh
2018/04/22,24:0,12.03062,0:0,0.00000,23.67387,527,41.74154,1.33540,0.11100
2018/04/21,24:0,12.75481,0:0,0.00000,23.51834,534,42.27759,1.41578,0.11100
2018/04/20,23:57,12.69263,0:0,0.00000,23.07930,527,41.56007,1.40888,0.11100
2018/04/19,1:48,0.78860,0:17,0.00002,18.56389,451,27.96910,0.08754,0.11100

Energy Data
Date & Time,Power Consumed for past 30 mins (kWh)
2018/04/23 00:30,0.27476
2018/04/22 23:59,0.26033
2018/04/22 23:30,0.25819
2018/04/22 23:00,0.24907
2018/04/22 22:30,0.25731
2018/04/22 22:00,0.28713
2018/04/22 21:30,0.27610
2018/04/22 21:00,0.28409
2018/04/22 20:30,0.27454
2018/04/22 20:00,0.27444
2018/04/22 19:30,0.27918
2018/04/22 19:00,0.25403
2018/04/22 18:30,0.19905
2018/04/22 18:00,0.19787
2018/04/22 17:30,0.25897
2018/04/22 17:00,0.25353
2018/04/22 16:30,0.24603
2018/04/22 16:00,0.19968
2018/04/22 15:30,0.18185
2018/04/22 15:00,0.25552
2018/04/22 14:30,0.21868
2018/04/22 14:00,0.19135
2018/04/22 13:30,0.27789
2018/04/22 13:00,0.21102
2018/04/22 12:30,0.18145
2018/04/22 12:00,0.26772
2018/04/22 11:30,0.25889
2018/04/22 11:00,0.25461
2018/04/22 10:30,0.28351
2018/04/22 10:00,0.26906
2018/04/22 09:30,0.26866
2018/04/22 09:00,0.25482
2018/04/22 08:30,0.26014
2018/04/22 08:00,0.26560
2018/04/22 07:30,0.26289
2018/04/22 07:00,0.26352
2018/04/22 06:30,0.27371
2018/04/22 06:00,0.27383
2018/04/22 05:30,0.28315
2018/04/22 05:00,0.27441
2018/04/22 04:30,0.22942
2018/04/22 04:00,0.13206
2018/04/22 03:30,0.18447
2018/04/22 03:00,0.28372
2018/04/22 02:30,0.26505
2018/04/22 02:00,0.26206
2018/04/22 01:30,0.27446
2018/04/22 01:00,0.27799
2018/04/22 00:30,0.27959
2018/04/21 23:59,0.27245
2018/04/21 23:30,0.27352
2018/04/21 23:00,0.25552
2018/04/21 22:30,0.27387
2018/04/21 22:00,0.28654
2018/04/21 21:30,0.27487
2018/04/21 21:00,0.22706
2018/04/21 20:30,0.18473
2018/04/21 20:00,0.27044
2018/04/21 19:30,0.27791
2018/04/21 19:00,0.27367
2018/04/21 18:30,0.26306
2018/04/21 18:00,0.26021
2018/04/21 17:30,0.26250
2018/04/21 17:00,0.25826
2018/04/21 16:30,0.27235
2018/04/21 16:00,0.27228
2018/04/21 15:30,0.27123
2018/04/21 15:00,0.24931
2018/04/21 14:30,0.28190
2018/04/21 14:00,0.26290
