Exported Data for Miner
Last Updated,Device Name,Device MAC,Signal Strength (%),Energy Cost per kWh,Currency,Threshold (Watts)
2018/04/30 00:04,Miner,149182B46382,99,0.11100,$,8

Daily Usage Summary
Date,Time ON (Hours:Minutes),Power Consumption ON (kWh),Time STANDBY (Hours:Minutes),Power Consumption STANDBY (kWh),Average Day Connected Device is ON (Hours),Average Power When ON (Watts),Estimated Monthly Cost,Day's Cost,Energy Cost per kWh
2018/04/29,24:0,12.83952,0:0,0.00000,23.90001,539,42.77325,1.42519,0.11100
2018/04/28,24:0,12.89624,0:0,0.00000,23.88898,538,42.70990,1.43148,0.11100
2018/04/27,24:0,12.85720,0:0,0.00000,23.87527,537,42.60724,1.42715,0.11100
2018/04/26,24:0,12.94442,0:0,0.00000,23.85773,536,42.49423,1.43683,0.11100
2018/04/25,24:0,12.68014,0:0,0.00000,23.83434,533,42.29581,1.40750,0.11100
2018/04/24,23:59,12.93914,0:0,0.00000,23.80188,532,42.19463,1.43624,0.11100
2018/04/23,24:0,12.47121,0:0,0.00000,23.75351,528,41.83040,1.38430,0.11100
2018/04/22,24:0,12.03062,0:0,0.00000,23.67387,527,41.74154,1.33540,0.11100
2018/04/21,24:0,12.75481,0:0,0.00000,23.51834,534,42.27759,1.41578,0.11100
2018/04/20,23:57,12.69263,0:0,0.00000,23.07930,527,41.56007,1.40888,0.11100
2018/04/19,1:48,0.78860,0:17,0.00002,18.56389,451,27.96910,0.08754,0.11100

Energy Data
Date & Time,Power Consumed for past 30 mins (kWh)
2018/04/29 23:59,-15.27182
2018/04/29 23:30,-15.55545
2018/04/29 23:00,-15.83158
2018/04/29 22:30,-16.09211
2018/04/29 22:00,-16.34976
2018/04/29 21:30,-16.61566
2018/04/29 21:00,-16.87815
2018/04/29 20:30,-17.12418
2018/04/29 20:00,-17.37701
2018/04/29 19:30,-17.63053
2018/04/29 19:00,-17.87790
2018/04/29 18:30,-18.14945
2018/04/29 18:00,-18.40198
2018/04/29 17:30,-18.66841
2018/04/29 17:00,-18.92987
2018/04/29 16:30,-19.18685
2018/04/29 16:00,-19.47100
2018/04/29 15:30,-19.72338
2018/04/29 15:00,-19.96538
2018/04/29 14:30,-20.22121
2018/04/29 14:00,-20.48604
2018/04/29 13:30,-20.75966
2018/04/29 13:00,-21.02186
2018/04/29 12:30,-21.28340
2018/04/29 12:00,-21.56708
2018/04/29 11:30,-21.84118
2018/04/29 11:00,-22.11538
2018/04/29 10:30,-22.39896
2018/04/29 10:00,-22.67300
2018/04/29 09:30,-22.95652
2018/04/29 09:00,-23.23065
2018/04/29 08:30,-23.50465
2018/04/29 08:00,-23.78820
2018/04/29 07:30,-24.06222
2018/04/29 07:00,-24.34567
2018/04/29 06:30,-24.60570
2018/04/29 06:00,-24.87198
2018/04/29 05:30,-25.15132
2018/04/29 05:00,-25.42114
2018/04/29 04:30,-25.69041
2018/04/29 04:00,-25.95793
2018/04/29 03:30,-26.21065
2018/04/29 03:00,-26.48274
2018/04/29 02:30,-26.75641
2018/04/29 02:00,-27.03959
2018/04/29 01:30,-27.31338
2018/04/29 01:00,-27.58720
2018/04/29 00:30,-27.85244
2018/04/28 23:59,-28.11135
2018/04/28 23:30,-28.38040
2018/04/28 23:00,-28.66156
2018/04/28 22:30,-28.93818
